rank,lname,fname,nation,pts,name
1,Sinner,Jannik,(ITA),11480,"Sinner, Jannik"
2,Alcaraz,Carlos,(ESP),9590,"Alcaraz, Carlos"
3,Zverev,Alexander,(GER),6230,"Zverev, Alexander"
4,Fritz,Taylor,(USA),5575,"Fritz, Taylor"
5,Draper,Jack,(GBR),4440,"Draper, Jack"
6,Shelton,Ben,(USA),4280,"Shelton, Ben"
7,Djokovic,Novak,(SRB),4130,"Djokovic, Novak"
8,de Minaur,Alex,(AUS),3545,"de Minaur, Alex"
9,Khachanov,Karen,XXX,3240,"Khachanov, Karen"
10,Musetti,Lorenzo,(ITA),3205,"Musetti, Lorenzo"
11,Rune,Holger,(DEN),3050,"Rune, Holger"
12,Ruud,Casper,(NOR),2905,"Ruud, Casper"
13,Medvedev,Daniil,XXX,2760,"Medvedev, Daniil"
14,Paul,Tommy,(USA),2610,"Paul, Tommy"
15,Rublev,Andrey,XXX,2610,"Rublev, Andrey"
16,Mensik,Jakub,(CZE),2430,"Mensik, Jakub"
17,Tiafoe,Frances,(USA),2340,"Tiafoe, Frances"
18,Davidovich Fokina,Alejandro,(ESP),2185,"Davidovich Fokina, Alejandro"
19,Cerundolo,Francisco,(ARG),2135,"Cerundolo, Francisco"
20,Fils,Arthur,(FRA),2120,"Fils, Arthur"
21,Lehecka,Jiri,(CZE),2115,"Lehecka, Jiri"
22,Machac,Tomas,(CZE),2110,"Machac, Tomas"
23,Humbert,Ugo,(FRA),2085,"Humbert, Ugo"
24,Bublik,Alexander,(KAZ),2055,"Bublik, Alexander"
25,Dimitrov,Grigor,(BUL),2045,"Dimitrov, Grigor"
26,Cobolli,Flavio,(ITA),2040,"Cobolli, Flavio"
27,Auger-Aliassime,Felix,(CAN),1965,"Auger-Aliassime, Felix"
28,Tsitsipas,Stefanos,(GRE),1790,"Tsitsipas, Stefanos"
29,Shapovalov,Denis,(CAN),1748,"Shapovalov, Denis"
30,Michelsen,Alex,(USA),1665,"Michelsen, Alex"
31,Griekspoor,Tallon,(NED),1655,"Griekspoor, Tallon"
32,Nakashima,Brandon,(USA),1570,"Nakashima, Brandon"
33,Diallo,Gabriel,(CAN),1388,"Diallo, Gabriel"
34,Darderi,Luciano,(ITA),1364,"Darderi, Luciano"
35,Sonego,Lorenzo,(ITA),1315,"Sonego, Lorenzo"
36,Norrie,Cameron,(GBR),1297,"Norrie, Cameron"
37,Popyrin,Alexei,(AUS),1290,"Popyrin, Alexei"
38,Muller,Alexandre,(FRA),1193,"Muller, Alexandre"
39,Mpetshi Perricard,Giovanni,(FRA),1185,"Mpetshi Perricard, Giovanni"
40,Baez,Sebastian,(ARG),1160,"Baez, Sebastian"
41,Moutet,Corentin,(FRA),1146,"Moutet, Corentin"
42,Borges,Nuno,(POR),1145,"Borges, Nuno"
43,Ugo Carabelli,Camilo,(ARG),1123,"Ugo Carabelli, Camilo"
44,Fonseca,Joao,(BRA),1095,"Fonseca, Joao"
45,Kecmanovic,Miomir,(SRB),1086,"Kecmanovic, Miomir"
46,Munar,Jaume,(ESP),1077,"Munar, Jaume"
47,Bautista Agut,Roberto,(ESP),1060,"Bautista Agut, Roberto"
