p1,p2,p1rank,p2rank,p1win
"Altmaier, Daniel","Alcaraz, Carlos",952,9590,0.0903054448871182
"Arnaldi, Matteo","Alcaraz, Carlos",915,9590,0.08710138029509758
"Atmane, Terence","Alcaraz, Carlos",873,9590,0.08343687278983083
"Auger-Aliassime, Felix","Alcaraz, Carlos",1965,9590,0.17005625270445696
"Baez, Sebastian","Alcaraz, Carlos",1160,9590,0.10790697674418605
"Basavareddy, Nishesh","Alcaraz, Carlos",593,9590,0.05823431208877541
"Basilashvili, Nikoloz","Alcaraz, Carlos",567,9590,0.055823569951757405
"Bautista Agut, Roberto","Alcaraz, Carlos",1060,9590,0.09953051643192488
"Bellucci, Mattia","Alcaraz, Carlos",911,9590,0.08675364251023712
"Bergs, Zizou","Alcaraz, Carlos",1039,9590,0.09775143475397498
"Berrettini, Matteo","Alcaraz, Carlos",975,9590,0.0922858495030762
"Blockx, Alexander","Alcaraz, Carlos",542,9590,0.05349388077378602
"Bonzi, Benjamin","Alcaraz, Carlos",999,9590,0.09434318632543205
"Borges, Nuno","Alcaraz, Carlos",1145,9590,0.10666045645086167
"Boyer, Tristan","Alcaraz, Carlos",546,9590,0.05386740331491713
"Brooksby, Jenson","Alcaraz, Carlos",687,9590,0.06684830203366741
"Bu, Yunchaokete","Alcaraz, Carlos",801,9590,0.07708593975555769
"Bublik, Alexander","Alcaraz, Carlos",2055,9590,0.17647058823529413
"Carballes Baena, Roberto","Alcaraz, Carlos",740,9590,0.07163601161665054
"Carreno Busta, Pablo","Alcaraz, Carlos",549,9590,0.05414735180984318
"Cazaux, Arthur","Alcaraz, Carlos",804,9590,0.07735231864537233
"Cerundolo, Francisco","Alcaraz, Carlos",2135,9590,0.18208955223880596
"Cerundolo, Juan Manuel","Alcaraz, Carlos",736,9590,0.07127638969591323
"Cilic, Marin","Alcaraz, Carlos",922,9590,0.08770928462709285
"Cobolli, Flavio","Alcaraz, Carlos",2040,9590,0.17540842648323302
"Collignon, Raphael","Alcaraz, Carlos",608,9590,0.05961953324181212
"Comesana, Francisco","Alcaraz, Carlos",962,9590,0.09116755117513267
"Coric, Borna","Alcaraz, Carlos",620,9590,0.06072477962781587
"Darderi, Luciano","Alcaraz, Carlos",1364,9590,0.12452072302355303
"Davidovich Fokina, Alejandro","Alcaraz, Carlos",2185,9590,0.18556263269639064
"de Jong, Jesper","Alcaraz, Carlos",774,9590,0.074681590119644925
"de Minaur, Alex","Alcaraz, Carlos",3545,9590,0.26988960791777694
"Dellien, Hugo","Alcaraz, Carlos",524,9590,0.05180937314613407
"Diallo, Gabriel","Alcaraz, Carlos",1388,9590,0.12643468755693205
"Dimitrov, Grigor","Alcaraz, Carlos",2045,9590,0.1757627847013322
"Djere, Laslo","Alcaraz, Carlos",851,9590,0.0815056029115985
"Djokovic, Novak","Alcaraz, Carlos",4130,9590,0.3010204081632653
"Draper, Jack","Alcaraz, Carlos",4440,9590,0.3164647184604419
"Draxl, Liam","Alcaraz, Carlos",543,9590,0.05358728905556104
"Duckworth, James","Alcaraz, Carlos",584,9590,0.05740121879300177
"Dzumhur, Damir","Alcaraz, Carlos",933,9590,0.08866292882257912
"Etcheverry, Tomas Martin","Alcaraz, Carlos",940,9590,0.0892687559354226
"Faria, Jaime","Alcaraz, Carlos",530,9590,0.05237154150197629
"Fearnley, Jacob","Alcaraz, Carlos",939,9590,0.08918225852407637
"Fils, Arthur","Alcaraz, Carlos",2120,9590,0.18104184457728437
"Fonseca, Joao","Alcaraz, Carlos",1095,9590,0.10248011230697239
"Fritz, Taylor","Alcaraz, Carlos",5575,9590,0.3676228156940323
"Fucsovics, Marton","Alcaraz, Carlos",679,9590,0.06612133605998637
"Garin, Cristian","Alcaraz, Carlos",510,9590,0.0504950495049505
"Gaston, Hugo","Alcaraz, Carlos",513,9590,0.05077699693160447
"Giron, Marcos","Alcaraz, Carlos",960,9590,0.0909952606635071
"Goffin, David","Alcaraz, Carlos",884,9590,0.08439946534275349
"Griekspoor, Tallon","Alcaraz, Carlos",1655,9590,0.14717652289906624
"Halys, Quentin","Alcaraz, Carlos",873,9590,0.08343687278983083
"Hijikata, Rinky","Alcaraz, Carlos",663,9590,0.06466400078025944
"Holt, Brandon","Alcaraz, Carlos",554,9590,0.05461356466876972
"Humbert, Ugo","Alcaraz, Carlos",2085,9590,0.1785867237687366
"Hurkacz, Hubert","Alcaraz, Carlos",885,9590,0.08448687350835322
"Jarry, Nicolas","Alcaraz, Carlos",628,9590,0.06146016833039734
"Kecmanovic, Miomir","Alcaraz, Carlos",1086,9590,0.10172349194454852
"Khachanov, Karen","Alcaraz, Carlos",3240,9590,0.2525331254871395
"Klein, Lukas","Alcaraz, Carlos",525,9590,0.05190311418685121
"Kopriva, Vit","Alcaraz, Carlos",726,9590,0.0703761147731679
"Korda, Sebastian","Alcaraz, Carlos",735,9590,0.0711864406779661
"Kovacevic, Aleksandar","Alcaraz, Carlos",859,9590,0.082208823810891
"Lehecka, Jiri","Alcaraz, Carlos",2115,9590,0.18069201196070056
"Machac, Tomas","Alcaraz, Carlos",2110,9590,0.18034188034188034
"Majchrzak, Kamil","Alcaraz, Carlos",794,9590,0.07646379044684129
"Mannarino, Adrian","Alcaraz, Carlos",811,9590,0.07797327180078839
"Marozsan, Fabian","Alcaraz, Carlos",975,9590,0.0922858495030762
"Martinez, Pedro","Alcaraz, Carlos",910,9590,0.08666666666666667
"McDonald, Mackenzie","Alcaraz, Carlos",639,9590,0.06246944960406687
"Medjedovic, Hamad","Alcaraz, Carlos",907,9590,0.08640563970658283
"Medvedev, Daniil","Alcaraz, Carlos",2760,9590,0.22348178137651822
"Mensik, Jakub","Alcaraz, Carlos",2430,9590,0.2021630615640599
"Michelsen, Alex","Alcaraz, Carlos",1665,9590,0.14793425144380276
"Misolic, Filip","Alcaraz, Carlos",677,9590,0.06593941755137821
